weight_dvdl,dvdl,Run,Lambda
20.639992129,386.0107,1,2
20.718512823999998,387.4792,1,2
21.944098693999997,410.4002,1,2
21.001139203,392.7649,1,2
20.060537738999997,375.1737,1,2
20.725282126,387.6058,1,2
21.83089201,408.283,1,2
20.684666313999998,386.8462,1,2
20.793836013,388.8879,1,2
20.742002194999998,387.9185,1,2
20.738007986,387.8438,1,2
19.847165704,371.1832,1,2
21.085124532,394.3356,1,2
20.648183733,386.1639,1,2
21.350966678,399.3074,1,2
20.607936864,385.4112,1,2
21.565803791,403.3253,1,2
21.043305644999997,393.5535,1,2
20.356291003,380.7049,1,2
20.365878174,380.8842,1,2
21.981158751,411.0933,1,2
20.666015978,386.4974,1,2
20.996498006999996,392.6781,1,2
20.432870737,382.1371,1,2
20.96082817,392.011,1,2
20.380475483999998,381.1572,1,2
20.68118007,386.781,1,2
20.536394003999998,384.0732,1,2
21.059779752,393.8616,1,2
20.830286511999997,389.5696,1,2
20.596259015999998,385.1928,1,2
20.988573752999997,392.5299,1,2
21.282236339999997,398.022,1,2
20.745627461,387.9863,1,2
20.217504271,378.1093,1,2
21.281113469999998,398.001,1,2
20.889937644,390.6852,1,2
21.088284609,394.3947,1,2
20.98248352,392.416,1,2
20.781773181,388.6623,1,2
21.045102237,393.5871,1,2
20.264691545999998,378.9918,1,2
20.088032013,375.6879,1,2
21.338262206,399.0698,1,2
20.149928885,376.8455,1,2
20.461225877999997,382.6674,1,2
20.510546606,383.5898,1,2
20.814197389,389.2687,1,2
22.015347468999998,411.7327,1,2
20.290993438999998,379.4837,1,2
20.261884370999997,378.9393,1,2
20.318904778999997,380.0057,1,2
20.556840932,384.4556,1,2
20.849926042999996,389.9369,1,2
20.735104564999997,387.7895,1,2
19.899389853,372.1599,1,2
20.465450007999998,382.7464,1,2
20.701145768,387.1544,1,2
21.505404078999998,402.1957,1,2
20.056623735,375.1005,1,2
19.915495016999998,372.4611,1,2
20.921575843,391.2769,1,2
20.764497024,388.3392,1,2
20.52242764,383.812,1,2
22.050466564999997,412.3895,1,2
20.990252711,392.5613,1,2
19.698695554999997,368.4065,1,2
20.801631939,389.0337,1,2
20.558380867999997,384.4844,1,2
21.696543287999997,405.7704,1,2
20.980890113999997,392.3862,1,2
20.557899638,384.4754,1,2
20.552082102,384.3666,1,2
19.687359915,368.1945,1,2
20.178246596999998,377.3751,1,2
21.44259287,401.021,1,2
20.699878529,387.1307,1,2
21.012817051,392.9833,1,2
20.582239182,384.9306,1,2
21.510745731999997,402.2956,1,2
20.930836847,391.4501,1,2
19.597680030999996,366.5173,1,2
20.278101821999996,379.2426,1,2
20.242715376,378.5808,1,2
20.233646864,378.4112,1,2
20.832377189,389.6087,1,2
20.212504826,378.0158,1,2
20.527197164,383.9012,1,2
20.516717044,383.7052,1,2
20.789654659,388.8097,1,2
20.187154698999997,377.5417,1,2
20.752583908,388.1164,1,2
20.292913012,379.5196,1,2
19.506037797999998,364.8034,1,2
21.325648633,398.8339,1,2
20.762016016,388.2928,1,2
21.508467909999997,402.253,1,2
20.343902004,380.4732,1,2
20.471748773999998,382.8642,1,2
19.928434756999998,372.7031,1,2
20.006051809,374.1547,1,2
20.790857734,388.8322,1,2
20.366968961999998,380.9046,1,2
20.657605146999998,386.3401,1,2
20.599183824999997,385.2475,1,2
20.785323588999997,388.7287,1,2
20.961047396999998,392.0151,1,2
20.585270931,384.9873,1,2
19.718377862,368.7746,1,2
20.745515173999998,387.9842,1,2
21.111779326999997,394.8341,1,2
20.191480421999998,377.6226,1,2
21.191658159999996,396.328,1,2
20.903636657999996,390.9414,1,2
21.239342706,397.2198,1,2
20.815523445,389.2935,1,2
20.416118586,381.8238,1,2
20.394094293,381.4119,1,2
20.516294630999997,383.6973,1,2
19.721489816,368.8328,1,2
20.72582752,387.616,1,2
21.186995575999997,396.2408,1,2
20.733543240999996,387.7603,1,2
20.904855773999998,390.9642,1,2
20.927735587,391.3921,1,2
20.212911197999997,378.0234,1,2
