weight_dvdl,dvdl,Run,Lambda
-0.7809210010000001,-33.1039,1,1
-0.854889805,-36.2395,1,1
-0.7416035480000001,-31.4372,1,1
-0.859919193,-36.4527,1,1
-0.9209300100000001,-39.039,1,1
-0.95129034,-40.326,1,1
-0.930646731,-39.4509,1,1
-0.886047477,-37.5603,1,1
-1.039903816,-44.0824,1,1
-0.8033456549999999,-34.0545,1,1
-0.9680864199999999,-41.038,1,1
-1.043890526,-44.2514,1,1
-1.182290697,-50.1183,1,1
-0.9047331160000001,-38.3524,1,1
-0.873240466,-37.0174,1,1
-0.76193341,-32.299,1,1
-0.9073398109999999,-38.4629,1,1
-0.9215645809999999,-39.0659,1,1
-0.866772088,-36.7432,1,1
-0.84480508,-35.812,1,1
-0.9215881709999999,-39.0669,1,1
-0.8144754169999999,-34.5263,1,1
-0.836558016,-35.4624,1,1
-0.813630895,-34.4905,1,1
-0.933652097,-39.5783,1,1
-1.1575636589999998,-49.0701,1,1
-1.026809007,-43.5273,1,1
-1.056421534,-44.7826,1,1
-1.005080258,-42.6062,1,1
-0.8590746709999999,-36.4169,1,1
-1.024935961,-43.4479,1,1
-0.7429906399999999,-31.496,1,1
-1.121942759,-47.5601,1,1
-1.010517753,-42.8367,1,1
-1.149323672,-48.7208,1,1
-0.9822097529999999,-41.6367,1,1
-1.042807745,-44.2055,1,1
-1.209841458,-51.2862,1,1
-0.935989866,-39.6774,1,1
-0.8399125139999999,-35.6046,1,1
-0.784907711,-33.2729,1,1
-0.912487149,-38.6811,1,1
-0.7553234919999999,-32.0188,1,1
-1.34017149,-56.811,1,1
-0.9822993950000001,-41.6405,1,1
-0.762881728,-32.3392,1,1
-0.79179835,-33.565,1,1
-0.964908847,-40.9033,1,1
-1.013051319,-42.9441,1,1
-1.163156848,-49.3072,1,1
-1.1898135479999998,-50.4372,1,1
-0.954434887,-40.4593,1,1
-0.9964439589999999,-42.2401,1,1
-0.9315148429999999,-39.4877,1,1
-1.105564222,-46.8658,1,1
-1.1460210720000001,-48.5808,1,1
-1.051205785,-44.5615,1,1
-0.794020528,-33.6592,1,1
-0.7887080599999999,-33.434,1,1
-0.909144446,-38.5394,1,1
-0.7850280199999999,-33.278,1,1
-0.746182367,-31.6313,1,1
-0.983924746,-41.7094,1,1
-1.123610572,-47.6308,1,1
-1.060839941,-44.9699,1,1
-0.880893062,-37.3418,1,1
-1.3933504270000001,-59.0653,1,1
-0.941675056,-39.9184,1,1
-1.0510052699999999,-44.553,1,1
-0.856708594,-36.3166,1,1
-0.840662676,-35.6364,1,1
-1.321768931,-56.0309,1,1
-0.825489588,-34.9932,1,1
-0.884542435,-37.4965,1,1
-1.382220665,-58.5935,1,1
-0.8225785819999999,-34.8698,1,1
-1.176084168,-49.8552,1,1
-1.009189636,-42.7804,1,1
-0.895259372,-37.9508,1,1
-1.226772001,-52.0039,1,1
-0.679547694,-28.8066,1,1
-0.856166024,-36.2936,1,1
-0.91878332,-38.948,1,1
-0.769295849,-32.6111,1,1
-0.753169725,-31.9275,1,1
-1.023437996,-43.3844,1,1
-1.037603791,-43.9849,1,1
-0.8796404329999999,-37.2887,1,1
-0.9703675730000001,-41.1347,1,1
-1.004797178,-42.5942,1,1
-1.020187294,-43.2466,1,1
-0.8945445949999999,-37.9205,1,1
-0.8852501349999999,-37.5265,1,1
-1.118248565,-47.4035,1,1
-0.8965473860000001,-38.0054,1,1
-0.9914475970000001,-42.0283,1,1
-0.8051432129999999,-34.1307,1,1
-1.212592052,-51.4028,1,1
-0.871030083,-36.9237,1,1
-0.846246429,-35.8731,1,1
-0.8866112780000001,-37.5842,1,1
-1.538947907,-65.2373,1,1
-0.973561659,-41.2701,1,1
-0.9299201589999999,-39.4201,1,1
-0.658248283,-27.9037,1,1
-0.903973518,-38.3202,1,1
-0.906488212,-38.4268,1,1
-1.0693936750000002,-45.3325,1,1
-0.8919544129999999,-37.8107,1,1
-0.856276897,-36.2983,1,1
-0.852037774,-36.1186,1,1
-0.932385314,-39.5246,1,1
-0.90222314,-38.246,1,1
-0.780076479,-33.0681,1,1
-0.903546539,-38.3021,1,1
-1.0881264940000002,-46.1266,1,1
-0.842113461,-35.6979,1,1
-1.025695559,-43.4801,1,1
-1.031880857,-43.7423,1,1
